source,target,edge_type,status
LVFAILURE,HISTORY,undirected,accepted
LVFAILURE,LVEDVOLUME,partial,accepted
LVFAILURE,STROKEVOLUME,llm_resolved,accepted
HISTORY,LVFAILURE,undirected,accepted
LVEDVOLUME,CVP,directed,accepted
LVEDVOLUME,PCWP,directed,accepted
LVEDVOLUME,HYPOVOLEMIA,llm_resolved,accepted
HYPOVOLEMIA,STROKEVOLUME,llm_resolved,accepted
STROKEVOLUME,CO,directed,accepted
ERRLOWOUTPUT,HRBP,partial,accepted
HR,HRBP,directed,accepted
HR,HREKG,directed,accepted
HR,HRSAT,directed,accepted
HR,CO,directed,accepted
ERRCAUTER,HREKG,llm_resolved,accepted
ERRCAUTER,HRSAT,llm_resolved,accepted
ANAPHYLAXIS,TPR,llm_resolved,accepted
TPR,BP,directed,accepted
ARTCO2,EXPCO2,directed,accepted
ARTCO2,CATECHOL,directed,accepted
VENTLUNG,EXPCO2,directed,accepted
VENTLUNG,MINVOL,directed,accepted
VENTLUNG,VENTALV,directed,accepted
VENTLUNG,INTUBATION,llm_resolved,accepted
INTUBATION,MINVOL,directed,accepted
INTUBATION,VENTALV,directed,accepted
INTUBATION,SHUNT,llm_resolved,accepted
MINVOL,PRESS,directed,accepted
FIO2,PVSAT,llm_resolved,accepted
PVSAT,SAO2,directed,accepted
VENTALV,ARTCO2,directed,accepted
VENTALV,PVSAT,directed,accepted
SHUNT,SAO2,directed,accepted
SHUNT,PULMEMBOLUS,llm_resolved,accepted
PULMEMBOLUS,PAP,llm_resolved,accepted
PRESS,KINKEDTUBE,llm_resolved,accepted
VENTTUBE,VENTLUNG,directed,accepted
VENTTUBE,PRESS,directed,accepted
VENTTUBE,VENTMACH,llm_resolved,accepted
VENTTUBE,DISCONNECT,llm_resolved,accepted
MINVOLSET,VENTMACH,undirected,accepted
VENTMACH,MINVOLSET,undirected,accepted
CATECHOL,HR,directed,accepted
CATECHOL,TPR,llm_resolved,accepted
CO,BP,directed,accepted
