source,target,status
LVFAILURE,HISTORY,rejected
LVEDVOLUME,PCWP,rejected
LVEDVOLUME,CVP,rejected
LVEDVOLUME,HYPOVOLEMIA,rejected
CVP,PCWP,rejected
CVP,HYPOVOLEMIA,rejected
PCWP,HYPOVOLEMIA,rejected
STROKEVOLUME,CO,rejected
HRBP,HR,rejected
HRBP,HRSAT,rejected
HRBP,HREKG,rejected
HRBP,CO,rejected
HRBP,CATECHOL,rejected
HR,HRSAT,rejected
HR,HREKG,rejected
HR,CO,rejected
HR,CATECHOL,rejected
ERRCAUTER,HRSAT,rejected
ERRCAUTER,HREKG,rejected
HREKG,HRSAT,rejected
HREKG,CO,rejected
HRSAT,CO,rejected
TPR,BP,rejected
ARTCO2,VENTALV,rejected
ARTCO2,PVSAT,rejected
ARTCO2,MINVOL,rejected
ARTCO2,SAO2,rejected
ARTCO2,VENTLUNG,rejected
ARTCO2,VENTTUBE,rejected
EXPCO2,VENTLUNG,rejected
VENTLUNG,VENTALV,rejected
VENTLUNG,MINVOL,rejected
VENTLUNG,PVSAT,rejected
VENTLUNG,SAO2,rejected
VENTLUNG,VENTTUBE,rejected
MINVOL,VENTALV,rejected
MINVOL,PVSAT,rejected
MINVOL,SAO2,rejected
MINVOL,VENTTUBE,rejected
PVSAT,VENTALV,rejected
PVSAT,SAO2,rejected
PVSAT,VENTTUBE,rejected
VENTALV,SAO2,rejected
VENTALV,VENTTUBE,rejected
SAO2,VENTTUBE,rejected
PRESS,VENTTUBE,rejected
VENTTUBE,VENTMACH,rejected
VENTTUBE,MINVOLSET,rejected
VENTTUBE,DISCONNECT,rejected
MINVOLSET,VENTMACH,rejected
