source,target,edge_type,status
LVFAILURE,LVEDVOLUME,partial,accepted
LVFAILURE,STROKEVOLUME,partial,accepted
HISTORY,LVFAILURE,llm_resolved,accepted
LVEDVOLUME,CVP,directed,accepted
LVEDVOLUME,PCWP,directed,accepted
LVEDVOLUME,HYPOVOLEMIA,llm_resolved,accepted
HYPOVOLEMIA,STROKEVOLUME,llm_resolved,accepted
STROKEVOLUME,CO,directed,accepted
ERRLOWOUTPUT,HRBP,llm_resolved,accepted
HR,HRBP,directed,accepted
HR,HREKG,directed,accepted
HR,HRSAT,directed,accepted
HR,CO,directed,accepted
ERRCAUTER,HREKG,partial,accepted
ERRCAUTER,HRSAT,llm_resolved,accepted
TPR,BP,directed,accepted
TPR,ANAPHYLAXIS,llm_resolved,accepted
TPR,CATECHOL,llm_resolved,accepted
ARTCO2,EXPCO2,directed,accepted
ARTCO2,CATECHOL,directed,accepted
VENTLUNG,EXPCO2,directed,accepted
VENTLUNG,MINVOL,directed,accepted
VENTLUNG,VENTALV,directed,accepted
VENTLUNG,INTUBATION,llm_resolved,accepted
INTUBATION,MINVOL,directed,accepted
INTUBATION,VENTALV,directed,accepted
MINVOL,PRESS,directed,accepted
FIO2,PVSAT,partial,accepted
PVSAT,SAO2,directed,accepted
VENTALV,ARTCO2,directed,accepted
VENTALV,PVSAT,directed,accepted
SHUNT,SAO2,directed,accepted
SHUNT,INTUBATION,llm_resolved,accepted
SHUNT,PULMEMBOLUS,llm_resolved,accepted
PAP,PULMEMBOLUS,llm_resolved,accepted
PRESS,KINKEDTUBE,llm_resolved,accepted
VENTTUBE,VENTLUNG,directed,accepted
VENTTUBE,PRESS,directed,accepted
VENTTUBE,VENTMACH,partial,accepted
VENTTUBE,DISCONNECT,partial,accepted
MINVOLSET,VENTMACH,undirected,accepted
VENTMACH,MINVOLSET,undirected,accepted
CATECHOL,HR,directed,accepted
CO,BP,directed,accepted
