source,target,status
HISTORY,LVFAILURE,accepted
LVEDVOLUME,PCWP,accepted
LVEDVOLUME,CVP,rejected
LVEDVOLUME,HYPOVOLEMIA,accepted
CVP,PCWP,rejected
CVP,HYPOVOLEMIA,accepted
HYPOVOLEMIA,PCWP,accepted
STROKEVOLUME,CO,rejected
HRBP,HR,accepted
HRBP,HRSAT,rejected
HRBP,HREKG,accepted
HRBP,CO,rejected
HRBP,CATECHOL,rejected
HR,HRSAT,accepted
HR,HREKG,rejected
HR,CO,accepted
HR,CATECHOL,rejected
ERRCAUTER,HRSAT,accepted
ERRCAUTER,HREKG,rejected
HREKG,HRSAT,rejected
HREKG,CO,accepted
TPR,BP,accepted
ARTCO2,PVSAT,accepted
ARTCO2,MINVOL,rejected
ARTCO2,SAO2,accepted
ARTCO2,VENTTUBE,rejected
EXPCO2,VENTLUNG,accepted
VENTLUNG,VENTALV,accepted
VENTLUNG,MINVOL,accepted
VENTLUNG,PVSAT,accepted
VENTLUNG,ARTCO2,accepted
VENTLUNG,SAO2,accepted
VENTLUNG,VENTTUBE,rejected
MINVOL,VENTALV,accepted
MINVOL,PVSAT,rejected
MINVOL,SAO2,accepted
MINVOL,VENTTUBE,rejected
PVSAT,VENTALV,rejected
PVSAT,VENTTUBE,rejected
VENTALV,ARTCO2,accepted
VENTALV,SAO2,accepted
VENTALV,VENTTUBE,rejected
SAO2,PVSAT,accepted
SAO2,VENTTUBE,accepted
PRESS,VENTTUBE,rejected
VENTTUBE,VENTMACH,rejected
VENTTUBE,MINVOLSET,accepted
VENTTUBE,DISCONNECT,accepted
MINVOLSET,VENTMACH,rejected
CO,HRSAT,accepted
