source,target,edge_type,status
N18_d_m,N18_d_g,partial,accepted
Z_67_d_m,Z_7_a_f,bidirected,accepted
Z_7_a_f,Z_67_d_m,bidirected,accepted
N26_d_f,N26_d_g,partial,accepted
Z_10_a_f,Z_2_d_f,bidirected,accepted
Z_2_d_f,Z_10_a_f,bidirected,accepted
Z_38_a_f,Z_44_d_f,bidirected,accepted
Z_44_d_f,Z_38_a_f,bidirected,accepted
N37_a_m,D0_37_a_x,directed,accepted
N45_a_f,D0_45_a_x,directed,accepted
N18_d_f,N18_d_g,partial,accepted
Z_2_d_m,Z_2_a_m,undirected,accepted
N45_a_m,D0_45_a_x,directed,accepted
Z_29_d_m,Z_29_a_m,bidirected,accepted
Z_29_a_m,Z_29_d_m,bidirected,accepted
N69_d_f,N69_d_g,partial,accepted
Z_10_d_f,Z_10_a_f,bidirected,accepted
Z_10_a_f,Z_10_d_f,bidirected,accepted
Z_68_a_f,Z_30_d_f,bidirected,accepted
Z_30_d_f,Z_68_a_f,bidirected,accepted
Z_37_d_f,Z_37_a_f,undirected,accepted
N6_d_m,N6_d_g,partial,accepted
Z_53_d_f,Z_53_a_f,undirected,accepted
Z_70_d_f,Z_36_a_f,bidirected,accepted
Z_36_a_f,Z_70_d_f,bidirected,accepted
N34_d_m,N34_d_g,partial,accepted
N38_a_m,D0_28_a_m,partial,accepted
N6_d_f,N6_d_g,bidirected,accepted
N6_d_g,N6_d_f,bidirected,accepted
N34_d_f,N34_d_g,partial,accepted
Z_29_d_f,Z_29_a_f,undirected,accepted
Z_2_d_f,Z_2_a_f,bidirected,accepted
Z_2_a_f,Z_2_d_f,bidirected,accepted
Z_32_a_f,Z_43_d_m,bidirected,accepted
Z_43_d_m,Z_32_a_f,bidirected,accepted
Z_37_d_m,Z_37_a_m,partial,accepted
N37_a_f,D0_37_a_x,directed,accepted
N25_a_f,N54_a_f,directed,accepted
N24_a_f,N55_a_f,directed,accepted
N19_a_m,N36_a_m,directed,accepted
N50_d_m,N50_d_g,partial,accepted
Z_53_d_m,Z_53_a_m,undirected,accepted
N9_a_f,D0_9_a_x,directed,accepted
N42_d_m,N42_d_g,partial,accepted
N19_a_f,N36_a_m,directed,accepted
N17_a_m,N38_a_f,directed,accepted
N25_a_m,N54_a_f,directed,accepted
N24_a_m,N55_a_f,directed,accepted
N9_a_m,D0_9_a_x,directed,accepted
Z_56_d_m,Z_3_a_m,bidirected,accepted
Z_3_a_m,Z_56_d_m,bidirected,accepted
N60_d_f,Z_36_a_m,bidirected,accepted
Z_36_a_m,N60_d_f,bidirected,accepted
N42_d_f,N42_d_g,partial,accepted
Z_56_a_m,Z_34_d_f,bidirected,accepted
Z_34_d_f,Z_56_a_m,bidirected,accepted
N20_a_m,D0_39_a_m,directed,accepted
Z_45_d_m,Z_45_a_m,bidirected,accepted
Z_45_a_m,Z_45_d_m,bidirected,accepted
N53_a_f,D0_53_a_x,directed,accepted
Z_10_a_m,Z_10_d_m,partial,accepted
N50_d_f,N50_d_g,partial,accepted
Z_45_d_f,Z_45_a_f,partial,accepted
N53_a_m,D0_53_a_x,directed,accepted
N2_a_m,N68_a_m,directed,accepted
Z_30_d_m,Z_30_a_m,undirected,accepted
N22_a_f,N50_a_f,directed,accepted
Z_32_d_m,Z_33_d_m,bidirected,accepted
Z_33_d_m,Z_32_d_m,bidirected,accepted
N62_d_m,N62_d_g,partial,accepted
Z_9_d_f,Z_9_a_f,undirected,accepted
